kmeans_7,detections,avg_frp,max_frp,extreme_detections
0,7626,8.57,207.84,109
1,3829,3.9,230.64,16
2,5047,8.05,218.21,47
3,5073,6.53,179.98,41
4,5242,6.92,136.69,21
5,4803,8.87,130.58,71
6,1940,6.36,136.15,14
